#,Job Title,Job Link,Source
95,Senior Frontend Engineer (React + WebSockets) – Qale,https://builtinhyderabad.in/job/senior-frontend-engineer-react-websockets-qale/8612761,Built In Hyderabad
96,Technical Program Manager (India),https://builtinhyderabad.in/job/technical-program-manager-india/7218092,Built In Hyderabad
97,Senior SDET,https://builtinhyderabad.in/job/senior-sdet/8598007,Built In Hyderabad
98,Senior Cloud Infrastructure Engineer (Working hours aligned to UTC+2),https://builtinhyderabad.in/job/senior-cloud-infrastructure-engineer-working-hours-aligned-utc-2/8592137,Built In Hyderabad
99,Oracle SOA Developer – Contract,https://builtinhyderabad.in/job/oracle-soa-developer-contract/8353410,Built In Hyderabad
100,. Net Developer,https://builtinhyderabad.in/job/net-developer/7704019,Built In Hyderabad
101,Senior Managed Services Data Engineer,https://builtinhyderabad.in/job/senior-managed-services-data-engineer/7068100,Built In Hyderabad
102,"Public Key infrastructure -Certificate,PKCS,Cryptography",https://builtinhyderabad.in/job/public-key-infrastructure-certificate-pkcs-cryptography/7692951,Built In Hyderabad
103,Senior Financial Accountant (USA),https://builtinhyderabad.in/job/senior-financial-accountant-usa/8568119,Built In Hyderabad
104,QA Lead,https://builtinhyderabad.in/job/qa-lead/7499967,Built In Hyderabad
105,Senior API Developer — API Incubation (AI/LLM + Data),https://builtinhyderabad.in/job/senior-api-developer-api-incubation-ai-llm-data/8648101,Built In Hyderabad
106,Analog/Mixed-Signal IC Design Engineer,https://builtinhyderabad.in/job/analogmixed-signal-ic-design-engineer/1902861,Built In Hyderabad
107,Sr. DevOps Engineer,https://builtinhyderabad.in/job/sr-devops-engineer/8316486,Built In Hyderabad
108,Automation Engineer,https://builtinhyderabad.in/job/automation-engineer/8650775,Built In Hyderabad
109,Senior Tax Customer Support Lead,https://builtinhyderabad.in/job/senior-tax-customer-support-lead/7406257,Built In Hyderabad
110,System Admin and IT Executive,https://builtinhyderabad.in/job/system-admin-and-it-executive/7156406,Built In Hyderabad
111,"Collaborative Engineer, GitHub Copilot (Remote - APAC - Talent Pipeline)",https://builtinhyderabad.in/job/collaborative-engineer-github-copilot-remote-apac/7642426,Built In Hyderabad
112,SAP Functional Business Analyst,https://builtinhyderabad.in/job/sap-functional-business-analyst/8525004,Built In Hyderabad
113,"Consumer Experience Lead - Digital, Consumer Data & CRM",https://builtinmumbai.in/job/consumer-experience-lead-digital-consumer-data-crm/8547415,Built In Mumbai
114,Technical Product Owner - PIM (m/f/x),https://builtinmumbai.in/job/technical-product-owner-pim-m-f-x/8412485,Built In Mumbai
115,"Sr. Data Engineer, Analytics Engineering",https://builtinmumbai.in/job/sr-data-engineer-analytics-engineering/8673097,Built In Mumbai
116,Senior Employee Support Analyst,https://builtinmumbai.in/job/senior-employee-support-analyst/7304206,Built In Mumbai
117,Senior Data Scientist,https://builtinmumbai.in/job/senior-data-scientist/6647007,Built In Mumbai
118,"Implementation Consultant, Aladdin Client Technology, Vice President",https://builtinmumbai.in/job/implementation-consultant-aladdin-client-technology-vice-president/8673049,Built In Mumbai
119,"Associate, Quality Engineer",https://builtinmumbai.in/job/associate-quality-engineer/8673041,Built In Mumbai
120,"L&D Multimedia & AI Production, HR, Associate",https://builtinmumbai.in/job/l-d-multimedia-ai-production-hr-associate/8224201,Built In Mumbai
121,Sr Data Scientist,https://builtinmumbai.in/job/sr-data-scientist/8672743,Built In Mumbai
122,Trainee (Technology),https://builtinmumbai.in/job/trainee-technology/8618076,Built In Mumbai
123,Lead Software Engineer,https://builtinmumbai.in/job/lead-software-engineer/8672740,Built In Mumbai
124,Sr Enterprise Account Executive - MRD,https://builtinmumbai.in/job/sr-enterprise-account-executive-mrd/8672328,Built In Mumbai
125,Senior Trade Operations Specialist,https://builtinmumbai.in/job/senior-trade-operations-specialist/8669981,Built In Mumbai
126,Senior/Sales Development Representative,https://builtinmumbai.in/job/sales-development-representative/8329321,Built In Mumbai
127,Java Developer,https://builtinmumbai.in/job/java-developer/8667344,Built In Mumbai
128,Product Support Specialist - OEMS,https://builtinmumbai.in/job/product-support-specialist-oems/8666937,Built In Mumbai
129,"Partner Account Executive (Hybrid, IND)",https://builtinmumbai.in/job/partner-account-executive-hybrid-ind/8584229,Built In Mumbai
130,Senior Software Engineer,https://builtinmumbai.in/job/senior-software-engineer/8432560,Built In Mumbai
131,"Enterprise Sales Manager, India",https://builtinmumbai.in/job/enterprise-sales-manager-india/6344401,Built In Mumbai
132,"Integrated Producer, APAC (Marketing & Creative Campaigns)",https://builtinmumbai.in/job/creative-producer-apac/7836617,Built In Mumbai
133,Senior Data Scientist,https://builtinmumbai.in/job/senior-data-scientist/8508253,Built In Mumbai
134,"Manager, Analytics & Data Science",https://builtinmumbai.in/job/manager-analytics-data-science/8653191,Built In Mumbai
135,Support Engineer,https://builtinmumbai.in/job/support-engineer/8637971,Built In Mumbai
136,"Senior Software Engineer, Devices - India",https://builtinmumbai.in/job/senior-software-engineer-devices-india/8007361,Built In Mumbai
